Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Mileage_final,Engine_cc,Power_bhp,New_Price_thousand,State,KRW,KRW_state_year,Age,Owner_Rank,log_Price,data_split
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,14011.25,2011,71703,Petrol,Automatic,First,14.74 kmpl,1991 CC,181.03 bhp,5.0,,14.74,1991.0,181.03,,Kerala,1468.68,1468.68,9,1,9.547615857335305,labeled_for_modeling
Honda Amaze SX i-VTEC,Hyderabad,9964.24,2016,33000,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,17.8,1198.0,86.7,,Telangana,2390.93,2390.93,4,1,9.206757962804154,labeled_for_modeling
Toyota Etios GD,Kolkata,4522.23,2012,60000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,,23.59,1364.0,94.0,,West Bengal,872.92,872.92,8,1,8.416760513994708,labeled_for_modeling
Renault Duster 85PS Diesel RxL,Jaipur,8814.52,2015,91000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,,19.87,1461.0,83.8,,Rajasthan,1251.39,1251.39,5,1,9.084155640711822,labeled_for_modeling
Maruti Wagon R LXI LPG BSIV,Hyderabad,4368.94,2012,72000,LPG,Manual,First,26.2 kmpl,998 CC,58.2 bhp,5.0,,26.2,998.0,58.2,,Telangana,1515.1,1515.1,8,1,8.382275695737428,labeled_for_modeling
Volkswagen Polo Petrol Highline 1.2L,Kolkata,3219.22,2011,43000,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5.0,,16.47,1198.0,73.9,,West Bengal,773.14,773.14,9,2,8.076894373169724,labeled_for_modeling
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,20771.61,2017,63770,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,19.67,1582.0,126.2,,Tamil Nadu,2629.14,2629.14,3,1,9.941342429513544,labeled_for_modeling
Jaguar XF Diesel,Kolkata,31425.68,2012,43510,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5.0,,14.74,2993.0,270.9,,West Bengal,872.92,872.92,8,1,10.355380672046925,labeled_for_modeling
Jeep Compass 2.0 Limited 4X4,Mumbai,30659.2,2017,52000,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5.0,24.26 Lakh,16.3,1956.0,170.0,2426.0,Maharashtra,2589.95,2589.95,3,1,10.330688059456554,labeled_for_modeling
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,91548.37,2018,31427,Diesel,Automatic,First,15.68 kmpl,1999 CC,177 bhp,5.0,75.12 Lakh,15.68,1999.0,177.0,7512.0,Kerala,3081.56,3081.56,2,1,11.424622745465728,labeled_for_modeling
Maruti Baleno Alpha Diesel,Kolkata,9964.24,2016,29000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5.0,9.53 Lakh,27.39,1248.0,74.0,952.9999999999999,West Bengal,1234.36,1234.36,4,1,9.206757962804154,labeled_for_modeling
Maruti Ciaz ZDi SHVS,Ahmedabad,11497.2,2016,56000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,28.09,1248.0,88.5,,Gujarat,2344.43,2344.43,4,1,9.349858806444828,labeled_for_modeling
Maruti SX4 Vxi BSIII,Jaipur,3295.86,2007,76000,Petrol,Manual,Second,15.0 kmpl,1586 CC,104.68 bhp,5.0,,15.0,1586.0,104.68,,Rajasthan,1723.88,1723.88,13,2,8.100422414399088,labeled_for_modeling
Hyundai Elantra CRDi SX,Coimbatore,12938.18,2015,53615,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,5.0,,22.7,1582.0,126.24,,Tamil Nadu,2130.42,2130.42,5,1,9.46793790901295,labeled_for_modeling
Mitsubishi Pajero Sport 4X4,Bangalore,19146.67,2013,132000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,34.6 Lakh,13.5,2477.0,175.56,3460.0,Karnataka,1782.44,1782.44,7,1,9.859884089148688,labeled_for_modeling
Volkswagen Ameo 1.2 MPI Comfortline,Pune,8400.62,2017,14800,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,,17.0,1198.0,73.75,,Maharashtra,2589.95,2589.95,3,1,9.036060791631426,labeled_for_modeling
Maruti Ritz VXi,Hyderabad,6438.43,2013,35433,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5.0,,18.5,1197.0,85.8,,Telangana,1682.43,1682.43,7,1,8.770040000557199,labeled_for_modeling
Hyundai Verna CRDi SX,Hyderabad,11037.31,2013,82966,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5.0,,16.8,1493.0,110.0,,Telangana,1682.43,1682.43,7,1,9.309036630721018,labeled_for_modeling
Maruti Swift Dzire Tour LDI,Jaipur,7358.21,2014,96000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,23.4,1248.0,74.0,,Rajasthan,1146.44,1146.44,6,1,8.90357197562168,labeled_for_modeling
Mahindra KUV 100 mFALCON D75 K6,Kochi,8937.16,2017,39528,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,,25.32,1198.0,77.0,,Kerala,2748.78,2748.78,3,1,9.097973144320607,labeled_for_modeling
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,28191.13,2018,92056,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,26.45 Lakh,13.68,2393.0,147.8,2645.0,Tamil Nadu,2915.6,2915.6,2,1,10.246762668441344,labeled_for_modeling
Maruti Baleno Delta 1.2,Pune,8967.82,2016,14930,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,21.4,1197.0,83.1,,Maharashtra,2455.89,2455.89,4,1,9.10139789318571,labeled_for_modeling
Honda Jazz VX Diesel,Mumbai,9519.68,2016,38000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,11.15 Lakh,27.3,1498.0,98.6,1115.0,Maharashtra,2455.89,2455.89,4,1,9.161116513775088,labeled_for_modeling
Hyundai i20 1.2 Asta,Delhi,5595.3,2013,71000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,,17.0,1197.0,80.0,,Delhi,3418.5,3418.5,7,1,8.629682238611512,labeled_for_modeling
Hyundai i20 Sportz Diesel,Delhi,5671.95,2012,71000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,,23.0,1396.0,90.0,,Delhi,3083.52,3083.52,8,1,8.643288252940387,labeled_for_modeling
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,45988.8,2015,50000,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,19.27,2143.0,167.62,,Maharashtra,2202.22,2202.22,5,1,10.73615316756472,labeled_for_modeling
Hyundai Xcent 1.2 Kappa Base,Kochi,7434.86,2016,48163,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5.0,,19.1,1197.0,82.0,,Kerala,2493.69,2493.69,4,1,8.913935028858194,labeled_for_modeling
Hyundai Grand i10 AT Asta,Coimbatore,10623.41,2017,19168,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,,18.9,1197.0,82.0,,Tamil Nadu,2629.14,2629.14,3,1,9.270815335535556,labeled_for_modeling
Maruti Alto 800 VXI,Kolkata,3985.7,2016,26000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,22.74,796.0,47.3,,West Bengal,1234.36,1234.36,4,1,8.290468234518329,labeled_for_modeling
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2897.29,2014,37400,Petrol,Manual,First,18.2 kmpl,1199 CC,82.5 bhp,5.0,,18.2,1199.0,82.5,,West Bengal,1033.14,1033.14,6,1,7.971531096314726,labeled_for_modeling
Mercedes-Benz C-Class Progressive C 220d,Mumbai,60551.92,2018,8682,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,52.26 Lakh,18.2,1950.0,194.0,5226.0,Maharashtra,2742.98,2742.98,2,1,11.011256457809639,labeled_for_modeling
Skoda Superb Elegance 1.8 TSI AT,Mumbai,15329.6,2012,95000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,13.7,1798.0,157.75,,Maharashtra,1681.38,1681.38,8,1,9.637540878896608,labeled_for_modeling
Audi A4 2.0 TDI,Kolkata,15252.95,2009,34000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,,16.55,1968.0,147.51,,West Bengal,1576.62,1576.62,11,1,9.632528205950896,labeled_for_modeling
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Mumbai,14486.47,2014,95000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,12.8,2494.0,102.0,,Maharashtra,1992.54,1992.54,6,2,9.580970389348366,labeled_for_modeling
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,43306.12,2017,13689,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,,17.9,2143.0,136.0,,Tamil Nadu,2629.14,2629.14,3,1,10.676049243495013,labeled_for_modeling
Hyundai i10 Era,Jaipur,2759.33,2008,84000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,,19.81,1086.0,68.05,,Rajasthan,1723.88,1723.88,12,2,7.922743175618577,labeled_for_modeling
Maruti Swift Dzire VXi,Kolkata,2146.14,2008,47000,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,,17.5,1298.0,85.8,,West Bengal,1576.62,1576.62,12,2,7.671426158714206,labeled_for_modeling
Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,11113.96,2015,60001,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,,21.66,1498.0,103.52,,Gujarat,2088.81,2088.81,5,1,9.315957254769147,labeled_for_modeling
Maruti Ritz VDi,Hyderabad,5518.66,2012,96000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,21.1,1248.0,73.9,,Telangana,1515.1,1515.1,8,1,8.615890356178522,labeled_for_modeling
Hyundai Accent GLS 1.6,Jaipur,1839.55,2004,47300,Petrol,Manual,Second,14.4 kmpl,1599 CC,94 bhp,5.0,,14.4,1599.0,94.0,,Rajasthan,1723.88,1723.88,16,2,7.51727625547469,labeled_for_modeling
Honda Amaze SX i-VTEC,Coimbatore,7572.82,2014,28246,Petrol,Manual,Second,17.8 kmpl,1198 CC,86.7 bhp,5.0,,17.8,1198.0,86.7,,Tamil Nadu,1942.41,1942.41,6,2,8.932320800179555,labeled_for_modeling
Maruti Wagon R LXI,Delhi,1916.2,2007,65000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,,18.9,998.0,67.1,,Delhi,4834.66,4834.66,13,2,7.558099337216773,labeled_for_modeling
Volkswagen Polo Diesel Comfortline 1.2L,Chennai,7358.21,2013,68000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5.0,,22.07,1199.0,73.9,,Tamil Nadu,1754.4,1754.4,7,2,8.90357197562168,labeled_for_modeling
Ford Endeavour 2.2 Trend AT 4X2,Kochi,47751.7,2019,11209,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7.0,,12.62,2198.0,158.0,,Kerala,3133.18,3133.18,1,1,10.773769947369377,labeled_for_modeling
Hyundai i20 1.2 Sportz,Pune,5058.77,2011,41980,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,17.0,1197.0,80.0,,Maharashtra,1493.96,1493.96,9,2,8.528878649728096,labeled_for_modeling
Chevrolet Beat Diesel PS,Bangalore,3679.1,2012,65000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,25.44,936.0,57.6,,Karnataka,1534.78,1534.78,8,1,8.210423436034636,labeled_for_modeling
Honda Civic 2010-2013 1.8 V MT,Kolkata,3065.92,2010,38000,Petrol,Manual,First,14.8 kmpl,1799 CC,130.2 bhp,5.0,,14.8,1799.0,130.2,,West Bengal,1576.62,1576.62,10,1,8.028102966462509,labeled_for_modeling
Maruti Wagon R VXI BS IV,Pune,4752.18,2014,51000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,,20.51,998.0,67.04,,Maharashtra,1992.54,1992.54,6,1,8.466358739112977,labeled_for_modeling
Skoda Rapid 1.6 MPI Ambition Plus,Kochi,7802.77,2014,33855,Petrol,Manual,First,15.0 kmpl,1598 CC,103.6 bhp,5.0,,15.0,1598.0,103.6,,Kerala,2033.06,2033.06,6,1,8.962234077839716,labeled_for_modeling
Maruti Baleno Vxi - BSIII,Pune,1609.61,2006,146000,Petrol,Manual,Second,15.4 kmpl,1590 CC,94 bhp,5.0,,15.4,1590.0,94.0,,Maharashtra,2736.81,2736.81,14,2,7.383747192609779,labeled_for_modeling
Ford EcoSport 1.5 TDCi Titanium,Bangalore,10730.72,2015,47037,Diesel,Manual,Second,22.77 kmpl,1498 CC,98.59 bhp,5.0,,22.77,1498.0,98.59,,Karnataka,2221.62,2221.62,5,2,9.280865934957877,labeled_for_modeling
Hyundai Accent GLE,Ahmedabad,3832.4,2010,58000,Petrol,Manual,Second,13.2 kmpl,1495 CC,94 bhp,5.0,,13.2,1495.0,94.0,,Gujarat,3109.86,3109.86,10,2,8.251246517776718,labeled_for_modeling
BMW 5 Series 520d Luxury Line,Mumbai,26826.8,2012,61240,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,70.43 Lakh,22.48,1995.0,190.0,7043.000000000001,Maharashtra,1681.38,1681.38,8,1,10.197156666832031,labeled_for_modeling
Maruti Alto K10 2010-2014 VXI,Chennai,3219.22,2011,91211,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,,20.92,998.0,67.1,,Tamil Nadu,1396.68,1396.68,9,1,8.076894373169724,labeled_for_modeling
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,27210.04,2013,84000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,,15.73,1968.0,174.33,,Karnataka,1782.44,1782.44,7,1,10.211341301823989,labeled_for_modeling
Maruti Wagon R LXI DUO BSIII,Mumbai,2222.79,2008,64226,LPG,Manual,First,17.3 kmpl,1061 CC,57.5 bhp,5.0,,17.3,1061.0,57.5,,Maharashtra,2736.81,2736.81,12,1,7.706518442565343,labeled_for_modeling
Toyota Corolla H4,Bangalore,3755.75,2005,67000,Petrol,Automatic,Second,11.3 kmpl,1794 CC,125 bhp,5.0,,11.3,1794.0,125.0,,Karnataka,3325.24,3325.24,15,2,8.231043277942533,labeled_for_modeling
Volvo XC60 D5,Pune,21154.85,2011,106976,Diesel,Automatic,First,13.5 kmpl,2400 CC,215 bhp,5.0,,13.5,2400.0,215.0,,Maharashtra,1493.96,1493.96,9,1,9.959624472606695,labeled_for_modeling
Honda Jazz 1.5 VX i DTEC,Kolkata,8967.82,2016,27210,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,,27.3,1498.0,98.6,,West Bengal,1234.36,1234.36,4,1,9.10139789318571,labeled_for_modeling
Maruti Ciaz 1.3 Alpha,Delhi,13643.34,2017,26322,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,28.09,1248.0,88.5,,Delhi,4774.84,4774.84,3,1,9.52100676945736,labeled_for_modeling
Maruti Swift VXI BSIV,Mumbai,7894.74,2016,9107,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,20.4,1197.0,81.8,,Maharashtra,2455.89,2455.89,4,1,8.973951993911871,labeled_for_modeling
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,25385.82,2015,63983,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,,19.27,2143.0,170.0,,Kerala,2222.0,2222.0,5,1,10.14194602940065,labeled_for_modeling
Maruti Wagon R VXI Minor,Chennai,2529.38,2010,134000,Petrol,Manual,Second,18.9 kmpl,1061 CC,67 bhp,5.0,,18.9,1061.0,67.0,,Tamil Nadu,3144.42,3144.42,10,2,7.835729492401095,labeled_for_modeling
Mercedes-Benz A Class A180 Sport,Pune,24527.36,2015,11000,Petrol,Automatic,First,15.5 kmpl,1595 CC,120.7 bhp,5.0,,15.5,1595.0,120.7,,Maharashtra,2202.22,2202.22,5,1,10.107544508142345,labeled_for_modeling
Hyundai Santro Xing GL,Pune,2222.79,2008,93000,Petrol,Manual,First,0.0 kmpl,1086 CC,62 bhp,5.0,,18.2,1086.0,62.0,,Maharashtra,2736.81,2736.81,12,1,7.706518442565343,labeled_for_modeling
Maruti Swift Dzire AMT ZDI,Coimbatore,12386.32,2017,24852,Diesel,Automatic,First,26.59 kmpl,1248 CC,74 bhp,5.0,,26.59,1248.0,74.0,,Tamil Nadu,2629.14,2629.14,3,1,9.424347916785134,labeled_for_modeling
Hyundai Grand i10 AT Asta,Pune,6898.32,2014,37632,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,,18.9,1197.0,82.0,,Maharashtra,1992.54,1992.54,6,1,8.839033182678838,labeled_for_modeling
Nissan Sunny 2011-2014 XV Special Edition,Chennai,6591.73,2013,55000,Petrol,Manual,Second,16.95 kmpl,1498 CC,97.7 bhp,5.0,,16.95,1498.0,97.7,,Tamil Nadu,1754.4,1754.4,7,2,8.79357111201261,labeled_for_modeling
Maruti A-Star Lxi,Hyderabad,3985.7,2010,81448,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,,19.0,998.0,66.1,,Telangana,3386.01,3386.01,10,1,8.290468234518329,labeled_for_modeling
Renault KWID RXT Optional,Hyderabad,6821.67,2018,1900,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,4.8 Lakh,25.17,799.0,53.3,480.0,Telangana,3147.72,3147.72,2,1,8.827859588897415,labeled_for_modeling
Hyundai Verna 1.6 SX VTVT (O) AT,Coimbatore,8232.0,2012,54957,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5.0,,17.1,1591.0,121.4,,Tamil Nadu,1580.1,1580.1,8,1,9.015784277513886,labeled_for_modeling
Maruti Wagon R LXI Minor,Chennai,2682.68,2008,55000,Petrol,Manual,Second,18.9 kmpl,1061 CC,67 bhp,5.0,,18.9,1061.0,67.0,,Tamil Nadu,3144.42,3144.42,12,2,7.894571573837986,labeled_for_modeling
BMW 3 Series 320d Sport Line,Kolkata,25293.84,2013,21983,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,,18.88,1995.0,184.0,,West Bengal,988.98,988.98,7,1,10.138316166809098,labeled_for_modeling
BMW 5 Series 2003-2012 520d,Delhi,29126.24,2013,76000,Diesel,Automatic,First,18.48 kmpl,1995 CC,177 bhp,5.0,,18.48,1995.0,177.0,,Delhi,3418.5,3418.5,7,1,10.279394765069004,labeled_for_modeling
Tata Indigo CS eVX,Jaipur,4292.29,2016,65000,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,5.0,,25.0,1396.0,69.01,,Rajasthan,1378.86,1378.86,4,1,8.364575669035572,labeled_for_modeling
Hyundai i20 Sportz 1.4 CRDi,Hyderabad,9504.35,2015,26000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,22.54,1396.0,88.73,,Telangana,2112.6,2112.6,5,1,9.15950486752367,labeled_for_modeling
Maruti Omni E MPI STD BS IV,Kochi,5825.25,2019,11571,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,8.0,,16.8,796.0,34.2,,Kerala,3133.18,3133.18,1,1,8.669957195967866,labeled_for_modeling
Maruti Swift ZDi,Hyderabad,9351.06,2014,81000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,25.2,1248.0,74.0,,Telangana,1861.56,1861.56,6,1,9.143244984840912,labeled_for_modeling
Ford Ecosport Signature Edition Diesel,Coimbatore,17858.98,2019,23154,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5.0,12.12 Lakh,23.0,1498.0,98.96,1212.0,Tamil Nadu,3092.48,3092.48,1,1,9.790261741937341,labeled_for_modeling
Honda Brio VX AT,Mumbai,6361.78,2014,26856,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,5.0,,16.5,1198.0,86.8,,Maharashtra,1992.54,1992.54,6,1,8.758063491390523,labeled_for_modeling
Toyota Innova Crysta 2.4 GX MT,Chennai,25293.84,2017,67489,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,19.37 Lakh,13.68,2393.0,147.8,1937.0,Tamil Nadu,2629.14,2629.14,3,1,10.138316166809098,labeled_for_modeling
Mahindra Scorpio 2.6 LX,Bangalore,6591.73,2008,176000,Diesel,Manual,Second,10.5 kmpl,2179 CC,120 bhp,8.0,,10.5,2179.0,120.0,,Karnataka,3325.24,3325.24,12,2,8.79357111201261,labeled_for_modeling
Hyundai i20 1.2 Magna,Kolkata,3449.16,2010,18000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,18.5,1197.0,80.0,,West Bengal,1576.62,1576.62,10,1,8.145886002118893,labeled_for_modeling
Hyundai Verna 1.6 SX,Ahmedabad,10347.48,2014,63003,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,22.32,1582.0,126.32,,Gujarat,1905.26,1905.26,6,1,9.244498290787002,labeled_for_modeling
Mahindra XUV500 W6 2WD,Chennai,14409.82,2014,80000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,15.1,2179.0,140.0,,Tamil Nadu,1942.41,1942.41,6,1,9.575665197590082,labeled_for_modeling
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,8262.65,2014,56658,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5.0,12.14 Lakh,20.64,1498.0,108.5,1214.0,Tamil Nadu,1942.41,1942.41,6,1,9.019500638306804,labeled_for_modeling
Maruti Swift Dzire VDI Optional,Kochi,13045.49,2019,18592,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,26.59,1248.0,74.0,,Kerala,3133.18,3133.18,1,1,9.476197759149784,labeled_for_modeling
Tata Manza Aura Safire BS IV,Pune,2835.98,2010,75695,Petrol,Manual,First,13.7 kmpl,1368 CC,88.8 bhp,5.0,,13.7,1368.0,88.8,,Maharashtra,2736.81,2736.81,10,1,7.950142835440974,labeled_for_modeling
Maruti Swift VDI,Kolkata,3832.4,2012,82000,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,5.0,,22.9,1248.0,74.0,,West Bengal,872.92,872.92,8,2,8.251246517776718,labeled_for_modeling
Volkswagen Polo Diesel Highline 1.2L,Chennai,7281.56,2013,60000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,22.07,1199.0,73.9,,Tamil Nadu,1754.4,1754.4,7,1,8.893100403949113,labeled_for_modeling
Honda City 1.5 V MT,Pune,5365.36,2009,138000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,,17.0,1497.0,118.0,,Maharashtra,2736.81,2736.81,11,2,8.587718754397931,labeled_for_modeling
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Bangalore,8431.28,2014,67000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,,23.0,1396.0,90.0,,Karnataka,1950.36,1950.36,6,1,9.039703878140989,labeled_for_modeling
Honda City 1.5 V MT,Coimbatore,9703.64,2012,42750,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,17.0,1497.0,118.0,,Tamil Nadu,1580.1,1580.1,8,1,9.18025635183186,labeled_for_modeling
Chevrolet Beat Diesel,Kochi,3786.41,2014,52398,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,25.44,936.0,57.6,,Kerala,2033.06,2033.06,6,1,8.23917361961961,labeled_for_modeling
Chevrolet Spark 1.0 LS,Kochi,5058.77,2014,36657,Petrol,Manual,First,16.2 kmpl,995 CC,62.1 bhp,5.0,,16.2,995.0,62.1,,Kerala,2033.06,2033.06,6,1,8.528878649728096,labeled_for_modeling
Tata New Safari DICOR 2.2 EX 4x2,Delhi,5365.36,2011,77000,Diesel,Manual,Second,11.57 kmpl,2179 CC,138.1 bhp,7.0,,11.57,2179.0,138.1,,Delhi,2775.02,2775.02,9,2,8.587718754397931,labeled_for_modeling
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,59402.2,2014,85000,Diesel,Automatic,First,11.3 kmpl,2987 CC,254.8 bhp,7.0,,11.3,2987.0,254.8,,Delhi,3708.14,3708.14,6,1,10.99208654170192,labeled_for_modeling
BMW 5 Series 2003-2012 530d Highline,Pune,12248.35,2008,112500,Diesel,Automatic,First,11.5 kmpl,2993 CC,235 bhp,5.0,,11.5,2993.0,235.0,,Maharashtra,2736.81,2736.81,12,1,9.413146513023287,labeled_for_modeling
Toyota Fortuner 2.8 4WD MT,Kochi,20357.71,2013,105072,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7.0,36.69 Lakh,14.24,2755.0,174.5,3669.0,Kerala,1850.82,1850.82,7,1,9.92121498889658,labeled_for_modeling
BMW X1 sDrive 18i,Pune,14563.12,2012,80000,Petrol,Automatic,First,11.25 kmpl,1995 CC,150 bhp,5.0,,11.25,1995.0,150.0,,Maharashtra,1681.38,1681.38,8,1,9.586247584509058,labeled_for_modeling
Renault Captur 1.5 Diesel Platine Mono,Kochi,21476.77,2019,3102,Diesel,Manual,First,20.37 kmpl,1461 CC,108.45 bhp,5.0,,20.37,1461.0,108.45,,Kerala,3133.18,3133.18,1,1,9.974727164876253,labeled_for_modeling
Hyundai Xcent 1.1 CRDi S,Coimbatore,10715.39,2016,14656,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,,24.4,1120.0,71.0,,Tamil Nadu,2348.93,2348.93,4,1,9.279436304818796,labeled_for_modeling
BMW 3 Series 320d,Hyderabad,16862.56,2010,105000,Diesel,Automatic,Second,13.2 kmpl,1995 CC,170 bhp,5.0,,13.2,1995.0,170.0,,Telangana,3386.01,3386.01,10,2,9.732851058700934,labeled_for_modeling
BMW 5 Series 2010-2013 525i,Hyderabad,16862.56,2008,61000,Petrol,Automatic,Second,10.8 kmpl,2497 CC,215 bhp,5.0,,10.8,2497.0,215.0,,Telangana,3386.01,3386.01,12,2,9.732851058700934,labeled_for_modeling
Nissan Micra XE,Pune,3525.81,2010,85046,Petrol,Manual,Second,18.06 kmpl,1198 CC,75 bhp,5.0,,18.06,1198.0,75.0,,Maharashtra,2736.81,2736.81,10,2,8.167865476083369,labeled_for_modeling
Jaguar XF 2.2 Litre Luxury,Delhi,40623.44,2014,48000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,,16.36,2179.0,187.7,,Delhi,3708.14,3708.14,6,1,10.61210051889474,labeled_for_modeling
Land Rover Range Rover TDV8 (Diesel),Bangalore,102708.32,2011,55000,Diesel,Automatic,First,10.2 kmpl,4367 CC,308 bhp,7.0,,10.2,4367.0,308.0,,Karnataka,1353.94,1353.94,9,1,11.53964840529353,labeled_for_modeling
Jeep Compass 1.4 Limited Option,Mumbai,27210.04,2017,4000,Petrol,Automatic,First,16.0 kmpl,1368 CC,160 bhp,5.0,23.68 Lakh,16.0,1368.0,160.0,2368.0,Maharashtra,2589.95,2589.95,3,1,10.211341301823989,labeled_for_modeling
